ID;fromID;toID;R;X;G;B
1;1;5;0.013455;0.0052;0;0
2;5;6;0.00828;0.0032;0;0
3;6;2;0.00828;0.0032;0;0
4;1;7;0.00414;0.0016;0;0
5;7;8;0.021735;0.0084;0;0
6;8;2;0.00621;0.0024;0;0
7;1;9;0.027945;0.0108;0;0
8;9;2;0.00414;0.0016;0;0
9;1;2;0.032085;0.0124;0;0
10;1;10;0.011385;0.0044;0;0
11;10;11;0.00414;0.0016;0;0
12;11;12;0.00414;0.0016;0;0
13;12;13;0.00414;0.0016;0;0
14;13;2;0.00828;0.0032;0;0
15;2;14;0.009315;0.0036;0;0
16;14;15;0.00414;0.0016;0;0
17;15;16;0.00828;0.0032;0;0
18;16;3;0.03105;0.012;0;0
19;2;17;0.027945;0.0108;0;0
20;17;3;0.02484;0.0096;0;0
21;2;18;0.00828;0.0032;0;0
22;18;3;0.02898;0.0112;0;0
23;2;19;0.011385;0.0044;0;0
24;19;20;0.00621;0.0024;0;0
25;20;21;0.007245;0.0028;0;0
26;21;3;0.01449;0.0056;0;0
27;3;22;0.01863;0.0072;0;0
28;22;23;0.00621;0.0024;0;0
29;23;24;0.00414;0.0016;0;0
30;24;25;0.07245;0.028;0;0
31;25;4;0.00414;0.0016;0;0
32;5;26;0.00041;0.00016;0;0
33;7;27;0.00041;0.00016;0;0
34;9;28;0.00041;0.00016;0;0
35;11;29;0.00041;0.00016;0;0
36;13;30;0.00041;0.00016;0;0
37;14;31;0.00041;0.00016;0;0
38;15;32;0.00041;0.00016;0;0
39;16;33;0.00041;0.00016;0;0
40;18;34;0.00041;0.00016;0;0
41;20;35;0.00041;0.00016;0;0
42;22;36;0.00041;0.00016;0;0
43;25;37;0.00041;0.00016;0;0
